脏乱差，脏乱差，脏乱差！！有蚊子，有老鼠，住地下室，公共卫生间简直脏的要命！被套也不换，网上预订不能退就是*一个坑！,卫生,negative,被套,negative,,,,,,,,,,
很简单的说 我从来没给过差评 毕竟一分钱一分货，青旅也是小本经营。 但是不至于住的不开心。 晚上很晚到青旅，手机被冻关机了，没办法微信或支付宝给押金，还要求必须给现金，然后放下行李就去取钱了。 确实交押金是应该的，但是也应该酌情。 反正 店员都很不热情，因为行李很多，搬来搬去很麻烦就续住了,服务,negative,,,,,,,,,,,,
太差劲了不能取消，定的时候明明是写的可以取消的,服务,negative,,,,,,,,,,,,
服务态度好，就是卫生差了，噪音比较大，不太好找,态度,negative,服务,negative,卫生,negative,,,,,,,,
差评。什么都要收钱连浴巾洗发水都要而且 这个价格太不合理了。166比店里要贵100块钱。完全欺诈,价格,positive,,,,,,,,,,,,
服务不怎么样，床单也不给换,服务,negative,卫生,negative,,,,,,,,,,
服务真的一般，人杂吵闹，晚上睡不好觉。。。,服务,negative,,,,,,,,,,,,
二楼没有男卫生间，半夜要走到楼下，尴尬，比较拥挤，33价钱实惠，,卫生,negative,,,,,,,,,,,,
服务太差，，，，，，,服务,negative,,,,,,,,,,,,
不满意的：床位脏，叫前台换了床单还是脏；四人间狭小，难以转身，一个行李箱都很难摊开；床不结实，随时都在吱吱响；上铺床尾正正对着空调；通风不好基本不开窗；无Wi-Fi无信号__；晾衣服的地方特别狭窄；地理位置不太方便；周围很少吃饭或者超市的地方 满意：浴室厕所明亮宽敞；前台服务还行；很安静各干各的；走廊摄像头很多应该比较安全。,位置,negative,服务,negative,环境,negative,,,,,,,,
价格到不贵，四人间很便宜。有点不人性化的就是洗衣服太贵了，都快赶上一天房费了,价格,positive,,,,,,,,,,,,
价格到不贵，四人间很便宜。有点不人性化的就是洗衣服太贵了，都快赶上一天房费了,价格,positive,,,,,,,,,,,,
喝水必须要付费才能有，不管何种季节不提供任何热水。被子不干净。八十多一张的床位说好了只是女士入住，在付费后晚上九点多回来竟然有男的睡在已经付费的床位上，管理只负责收费其他全无的服务，摄像头如同虚设，安全毫无保障。自身没有规则意识，没有违规成本，经营日期老天都给你们计算着呢吧。,服务,negative,安全,negative,,,,,,,,,,
还不错 还算干净技能 价格合理,价格,positive,卫生,positive,,,,,,,,,,
肚子饿想要点开水泡泡面既然说没有，最后没办法跑去买泡面的老板那拿开水，还有我朋友戒指掉床底下第二天回来去找就没找到七千多戒指就这样没了因为最后两天就没换地方住,服务,negative,,,,,,,,,,,,
实在没有空房的酒店选择了这家，标间快捷的价格，小旅店的环境，最奇葩的是没有合适的插座烧水！只能放在床上的能够到插座！也许只有这间最奇葩的让我订了吧@$？！,环境,negative,价格,positive,环境,negative,,,,,,,,
不错的 价格实惠 很干净,价格,positive,卫生,positive,,,,,,,,,,
靠市中心，交通便利。无网络信号和wifi。,交通,positive,位置,positive,网络信号,negative,,,,,,,,
2分，服务意识强，房间卫生有死角,服务,positive,卫生,negative,,,,,,,,,,
卫生差，床上有头发，纸屑，不好烂,卫生,negative,,,,,,,,,,,,
来北京住的最坑的一家，除了工作人员服务态度没问题，其他都差到不想细说。简单举个例子，第一次遇见喝个热水都特费事，而且下班就没人烧的场景。入住前看了其他人的评价我还不信，结果自己当了次**有志者继续吧，多亏我只住一天。,态度,positive,服务,negative,,,,,,,,,,
头一次住店被讹，定了三个房间都说马桶坏了，这能是我们住了一晚上坐坏的？坏也不会3个一起坏吧！来旅游没有时间跟他们墨迹！陪了40，还有我网上预订了，电话也提前预订了，到店说没有那么多房间费劲半天才给我房间！我看这个商家动机不纯看是特价房！其他入住的朋友小心了！,服务,negative,,,,,,,,,,,,
图一旁边有个bar这个是电源插头，以前随时都可以过来看看书，聊聊天，充充电，谁知道这次来，电源插头被彻底堵死了，请问老板你是舍不得那点电嘛？一个充电的都不留，你太绝了！图二，据说是bar里面必须消费才可以坐到这里，不消费的会被吧台小哥立马请出去，然后之前卖的很畅销的虎牌啤酒,充电,negative,,,,,,,,,,,,
评分2，环境一般，被子床全是潮湿的，WiFi信号特别不好，基本没有，最让人无语的，身为一个旅馆竟然没有热水，必须掏钱去外边买。这里值得好评的，是这里的淋浴间厕所特别不错，很好，说实话旅馆的价格比较便宜，地理位置在二环，很靠近市中心，离后海，北海公园，烟袋斜街，南锣鼓巷，九门小吃都挺近的，就这吧,环境,negative,位置,positive,价格,positive,服务,negative,,,,,,
定了三天房，房间是在二楼，第二晚到前台刷房卡被前台告知第三天我要搬房间，原因是，有四个人是一块的订了四人间所以我要给他们腾位置我住了那么多青旅 客栈就没遇到过这样子安排房间的呵呵 换的那个房间晚上真是让人无法入眠啊隔音不好走廊上的走路声，前台的说话声，电话声，以及隔壁房间的音乐声声声入耳而且那床摇摇晃晃的很厉害呵呵,位置,positive,隔音,negative,床,negative,,,,,,,,
环境差，服务不贴心。,环境,negative,服务,negative,,,,,,,,,,
服务态度不好，环境一般,态度,negative,环境,negative,服务,negative,,,,,,,,
一分是给前台某小哥的，一直笑容满满，不管什么时候 一分是给公共区域的，干净热水够大洗澡够舒服 扣掉的三分其一是网络超级烂房间完全没有包括手机本身的信号，必须走到大门口才可以 其二是中国人如果只订一天不给续住，但外国人可以哦，亲眼看见亲耳听见，就冲这点分分钟想走人～如果真的旺季不能续房为啥不是一视同仁？ 其三没有热水,态度,positive,信号,negative,公共区域,positive,,,,,,,,
太小，太吵，环境还可以,环境,negative,,,,,,,,,,,,
差评！服务态度差！没有发票还要拖到七月初说寄过来，到了七月初又说没发票要再等，说周一肯定寄出，到了周二打电话过去说还没寄！还说就50块钱急什么，说到这里我就想骂你了！钱多钱少我就是要开发票，哪有你这样说话的！***,态度,negative,服务,negative,,,,,,,,,,
地理位置很方便，挨着西四。不过，这里晚上十点之后不提供饮用水。酒店方解释是因为酒吧台有服务生烧开水，存在暖瓶里。可是！到了吧台才知道，服务生十点就下班了！暖瓶也早让大家排队接空了当时正在感冒，想喝药。拿着感冒冲剂，却到处找不到开水特别特别不爽！,位置,positive,服务,negative,,,,,,,,,,
订的288的标间，结果还是一半地上一半地下，进去连张凳子都没有，孩子累了就懒得换了，本来是体验青年旅舍的氛围，根本没有！下次还是如果便宜还是住快捷！,环境,negative,,,,,,,,,,,,
很垃圾！鸽子笼大小！整个房间不通风！房间没法住！前台服务也很垃圾！,服务,negative,房间,negative,,,,,,,,,,
无开水，厕所在一楼，房间在二楼，网速渣的不行。,网速,negative,,,,,,,,,,,,
开水是限时供应，我到的时候是下午三点多，十分口干，服务员说下午六点才供应开水。,服务,negative,,,,,,,,,,,,
来北京住的最坑的一家，除了工作人员服务态度没问题，其他都差到不想细说。简单举个例子，第一次遇见喝个热水都特费事，而且下班就没人烧的场景。入住前看了其他人的评价我还不信，结果自己当了次**有志者继续吧，多亏我只住一天。,态度,negative,服务,negative,,,,,,,,,,
太小了 住着有点压抑,环境,negative,,,,,,,,,,,,
卫生差，床上有头发，纸屑，不好烂,卫生,negative,,,,,,,,,,,,
四人间超小，憋屈的不行，果断白交钱离开！,环境,negative,,,,,,,,,,,,
服务特别不规范且差劲。公共区不让进，洗衣服25，还没地方凉衣服。就算预定了隔日的房间，也不提供保存行李,服务,negative,,,,,,,,,,,,
性价比很差，房间毫无私密性，入住房间没有钥匙，房门不能反锁，房间没有窗帘，小院杂乱，餐食粗陋，毫无民宿文化与内涵，服务也就是农家院水平，这样的水平一晚3000，实在不敢美化误导。,服务,negative,性价比,negative,安全,negative,,,,,,,,
这是我住过最糟糕的房子，没见过比这个更糟糕的了！房子里什么苍蝇多的可怕，晚上根本睡不了，满屋都是，自己打了近百只苍蝇！厕所水池子一直漏水，跟服务员说了告诉我没事，水就这么流一晚上！不会再来了，奉劝各位亲也别浪费钱了！,服务,negative,环境,negative,,,,,,,,,,
服务差，设施差,服务,negative,设施,negative,,,,,,,,,,
很差的旅馆，房间里有异味，应该是长期卫生没有搞好导致，房间也没有电话，没有蚊香，导致一晚都没睡好！,卫生,negative,环境,negative,,,,,,,,,,
服务态度超级差，设施不好，房间小的不能再小了。尤其前台服务态度超级不好，11点就催退房。又不是不知道。,态度,negative,服务,negative,设施,negative,,,,,,,,
大家去这家店一定要注意刷卡押金预授权的问题，我21号定的，22号离店，当时前台说已经办好还刷了我之前办押金的卡，说预授权已经取消。之后第二天接到他们前台电话说没有取消，要帮我重新操作，直到信用卡账单下来他们还是刷了我1000元，直到今天11月3号，给他们打了几次电话还是没有退款。,预授权,negative,管理,negative,,,,,,,,,,
找服务员，服务员说这个季节就这样。拎行李箱过去的时候，服务员，根本就不帮忙，老人孩子一家人拎着大包小包，他们看着，我问了一句，你们为什么不帮忙？他们说可以帮。然后也没帮。房间环境特别差，阴森恐怖。周边环境，也很差，很不安全。非常贵，是周围，房价的，五倍左右！建议还是过去选其他的，去住，更实惠。更卫生，服务更周到。,环境,negative,服务,negative,卫生,negative,,,,,,,,
晚上九点半，我们一身汗，然后这个六人间别墅房不能洗澡！凉水！告诉我，最快半小时可以修好！,服务,negative,,,,,,,,,,,,
被子不是每位客人换一套的。民俗村里烧烤的小餐馆 搞得油烟大。玩会牌 手动的麻将桌要每晚将近300元 应该免费提供的，卧室没电视，客房没有衣架 只好把脱下来的衣服放客厅沙发上。,卫生,negative,,,,,,,,,,,,
不值这个价钱,价格,negative,,,,,,,,,,,,
酒店环境太差，安全系数低;价格最贵，享受不到优质服务;服务员业务不精，鬼鬼祟祟;想打造高端却提升不了档次;几千元的消费，都达不到快捷酒店的服务，真是龌龊。这个酒店周围都是民宿，服务优质，态度和蔼，做了一手拿手好菜，不过赶上周末人太多，必须提前预订。,态度,negative,环境,negative,服务,negative,价格,negative,安全,negative,,,,
好吧。在密云水镇旁边的村里。我们是两家带孩子一起出游，为了特意要住在一个屋檐下的感觉，选择这里。楼上楼下两个三口之家住起来还是比较舒服的。但实话实说也就是村里大姐在做服务，所以对于他们的服务水准，餐食水准 请不要有过高的预期。如果不是特别需要两家人住一栋别墅的这种需求，没有必要选择这个酒店。还是密云水镇里的酒店性价比更高。,服务,negative,性价比,negative,餐饮,negative,,,,,,,,
我感觉此价位和实际入住的酒店严重不符,性价比,negative,,,,,,,,,,,,
虫子很多卫生待改善服务差,服务,negative,卫生,negative,,,,,,,,,,
酒店环境太差，安全系数低;价格最贵，享受不到优质服务;服务员业务不精，鬼鬼祟祟;想打造高端却提升不了档次;几千元的消费，都达不到快捷酒店的服务，真是龌龊。这个酒店周围都是民宿，服务优质，态度和蔼，做了一手拿手好菜，不过赶上周末人太多，必须提前预订。,态度,negative,环境,negative,服务,negative,价格,negative,安全,negative,,,,
太一般，馒头有虫子,餐饮,negative,,,,,,,,,,,,
很烂，平时300块 6日要800块 其实就是日租房，以为是酒店，到目的地是小区门口，打电话出来接的，等了好久。看过房间不满意还不给退，真服了！去那玩的话还是建议住到景区里。景区酒店包含门票，住这还要单独再买门票，希望大家不要上当了！房间所谓的大床房就是两个小窗拼一起的，睡觉也不舒服。哎希望对你们有帮助,服务,negative,房间,negative,,,,,,,,,,
在一个小区里，离景区很近，但不含景区票和温泉票，价格还是比较高，设施差评，淋浴微波炉各种问题，早餐也很不走心，几个不好吃的菜包子，还热不了，房间居然没有牙刷。负责的人还算可以，但古北水镇整个都是人造的景区，很没意思，很贵，强烈不推荐。,价格,negative,设施,negative,,,,,,,,,,
不太值，不太方便，其他还好就是发票不能当场开，两个文件到付又花了48,价格,negative,,,,,,,,,,,,
一千块钱住一次类似地下室的房间，也算是人生一项体验,环境,negative,,,,,,,,,,,,
房间没有暖气，空调不制暖，一夜冻得没睡好，打电话给客服，客服人员来说地暖一会就热，空调是一匹制暖慢，结果这样我们一家三口被冻了一夜，说好的地暖，第二天早上地面还冻脚，这是我住宿体验最不好的一次！,设施,negative,,,,,,,,,,,,
酒店卫生不行，枕头上被子上有毛发，看之前评论说有饼干面包，现在都没有了，只有一兜冻包子，很冷很冷，地暖不行，后来开了一宿空调，又吵又干，勉强可以睡觉，最关键让人不满意的地方是我花了1368块订的房间当天看携程价位同样的房间只有五百多，感觉非常非常坑，现在是淡季，怎么价格会这样，理解不了，非常不满意。不知道是携程的问题还是酒店的问题。,价格,negative,卫生,negative,设施,negative,,,,,,,,
去北水古镇玩提前几天都没有房订了，想着就在景区旁边，而且房费是700多，想着应该不会太差，但是入住的体验是十分的糟糕，说是酒店公寓实际就是返租的房子，晚上回去看到长长的走廊听到走路的回声，心里各种害怕和恐惧，反正我是绝对不会再去住了差，差，差,性价比,negative,安全,negative,,,,,,,,,,
不是正规酒店，没有早餐，莫名停水，不能洗漱，折腾了一早上也解决不了，严重差！,餐饮,negative,,,,,,,,,,,,
冻死了～油之类的也是变质了,餐饮,negative,设施,negative,,,,,,,,,,
酒店的家具配置太差甲醛味道非常浓,设施,negative,,,,,,,,,,,,
非正规酒店，实在对不起这个价格，停车场离得远酒店表示我们接不了，下雨天酒店表示我们自己也没有雨具，得自己出去买，入住也并未要求出示有效证件，前面入住人员留下的床头柜边上的烟灰和垃圾也并未清理，总之很差,价格,negative,卫生,negative,,,,,,,,,,
能够好评的只有网络，很给力。入住房间基本舒适，但总体从软硬件上均无法和高收费相对应，店家理念是可提倡的，但细节上差距很大，管家服务不到位，小院混乱，总之比较失望,服务,negative,网络,positive,性价比,negative,设施,negative,,,,,,
怎么说呢，如果这是普通的农家院也还可以，问题是价钱这么贵，完全没有达到标准，小院里还凑合，出去没什么可看的，重点说一下洗漱条件吧，所有的水龙头都像随时要停水的感觉，水流小的可怜，洗澡都冲不干净身上的沐浴露，水真是太小了。可以露天烧烤，不过碳是最差的原始款，特别大的烟，炉子也是特别小特别不专业的那种。院子不大，一烧烤就全是烟了。所以整体感觉真的有些失望，不会再来了。问了管家，她也是很实在的说，没有回头客。,价格,negative,设施,negative,,,,,,,,,,
网红店。希望提高设施设备。注意卫生。这个价格是不值的。,价格,positive,设施,negative,卫生,negative,,,,,,,,
不得不吐槽一下了：车要停村子外面，虽然不远。房间就是原来的农民房改建的，改的很漂亮，但外面环境糟极了，就是北方传统农村，没一点景致可言。我和孩子大中午的在院子里踢会足球，跳进来一个大妈，指责我们声音大，殊不知村子内不停的有柴油农用车和拖拉机来回开，比我们吵不知多少！屋内有厨房，管家会给做下午茶和晚餐，挺好的。希望她们把剩菜及时处理吧。总之感觉不如山里寒舍了。,环境,negative,,,,,,,,,,,,
卫生间下水道味道十分浓郁 枕套上有头发 床单有股炭烧味道 五号院里面有个厨房 那里面的菜味也是一阵阵一股股 出门一片荒凉 晚上的火锅盆看着挺新鲜 大姐也很辛苦 但是不爱吃 早餐也不指望了 建议一定要多带吃的 总之是一次不愉快的出行 感觉和房间的价位太不匹配了 只能说是披着华丽外衣的农家院吧 下次应该不会再光顾了 至少再不会住五号院了 对了 还有虫子 发现2-3只 搞不清是什么 个头像蜜蜂 样子像苍蝇,卫生,negative,设施,negative,性价比,negative,,,,,,,,
早晨馒头咸菜小菜鸡蛋送到屋里，但是这个定位太不准了，本来以为在景点门口，结果进小区还得走好远，晚上穿少了，回房间后开空调，客厅的还可以，卧室的功率完全不够，来的时候司机还帮忙搬一下行李，走的时候完全自己搬，关键是想要到屋里还需要搬好多楼梯，才能上去，有种房子在半山的感觉，屋里环境不错，用品也不错，就是太远了逛完真的不想走回房间，还是近一点好，没有所谓的服务，比如药品，酒水需要到小区的贩卖机买太冷了懒的出去，厕所淋雨出水量完全小，一点压力也没有，还是住酒店比较好，古北之光或者水镇大酒店,环境,negative,服务,negative,,,,,,,,,,
在网上交了房费和押金，写明到店无需再付押金的，结果店里说网上是网上的，店里是店里的，这是什么逻辑？网上预定收我押金干嘛？！ 房间里有些潮，没有一次性拖鞋，没有瓶装水！ 空调不能调节温度！ 服务也较差！ 不会再来，不推荐！,服务,negative,,,,,,,,,,,,
房间很小，蓝色的墙壁更显狭小。老板人还不错，人很客气。可能是淡季的原因，只提供住宿和早餐，其他时间没有食物供应，也没有惊喜老板没有免费擦车。厕所反味儿特别严重，我们住的三楼，卫生间不能久待。希望改善！,卫生,negative,老板,positive,,,,,,,,,,
酒店很一般，毛巾只有两条，就两把牙刷，没梳子、没吹风机。厕所门很破，锁不上不说，门框掉皮厉害，另外卫生间条件很差，没通风，一股臭味，也很脏。所谓的地中海风格就是墙壁刷成了蓝色仅此而已。总之300多的房间，不如去随便找个一百多的农家院，感受很差，不推荐入住。唯一一点满意的是老板把车给洗了，这点赞。#卫生#,卫生,negative,老板,negative,设施,negative,,,,,,,,
早点有，有免费停车场，适合带孩子玩，但是环境一般,环境,negative,,,,,,,,,,,,
不值这个价位，泡池不开放,性价比,negative,,,,,,,,,,,,
前台，客服态度特别差，去了就吵了一架，生气，本来是去玩的，瞬间就没有心情了,态度,negative,,,,,,,,,,,,
**，长这么大就没住过这么贵还这么差劲的酒店，连个客服都没有，位置超级偏，离景点特别远，来的时候找不到路服务员还给指了一条反方向的路，而且还没到就把验证码消费了，我们是被消费的，到了房间看见的先是床上的一只死苍蝇，然后在屋里陆陆续续看到各种昆虫，有个衣柜连衣撑都没有也不知道要衣柜干嘛！要求退房，可去哪儿网为了保护酒店也不给退，也是醉了，住这一晚也是被坑的，旁边就是火车道被吵了一晚上都没睡好，再也不会住这种没保障的破民宿了,位置,negative,服务,negative,卫生,negative,,,,,,,,
酒店很一般，一千多一夜真的是不值，所有的卫浴都是杂牌子的，马桶冲完水，嗡嗡的响，窗户打开还关不上。真的是有些失望。,性价比,negative,设施,negative,,,,,,,,,,
提前二个月定了2间房，临行前因故要取消一间，连着打了两天电话才打通，听服务员介绍打算留一间有阳台有浴缸的，结果到了酒店一看才知道退错了，服务员太不专业！答应有房就联系我们，连住了三天没有一天主动告之进展，太敷衍，这样做生意可做不大！既使没有房也应该主动回复呀，这是职业与礼貌！早餐品种更只有一只手就可数的几样，而且9点就没了房间里好多臭大姐性价比太低,服务,negative,性价比,negative,餐饮,negative,卫生,negative,,,,,,
村子里修路车停的特别远，满院子的会飞的臭虫房间里枕头上都有，晚上不到九点就停水了，一家人谁也没有洗就睡觉了，半夜有一个房间从房顶发大水，弄的大家鸡犬不宁。本来住两个晚上，第二天一早就退了离开。房东很热情，可是这种条件应该是不能接待的。希望改进。。。。,卫生,negative,设施,negative,,,,,,,,,,
比照片上的差太多了，路边停车，灰尘弥漫。,环境,negative,,,,,,,,,,,,
比较失望，房间小到不好意思拍照。住了几天，竟然木有打扫过房间.....我也是。。。可能天冷了吧，院子里的景观.....嘛也木有！好吧，可能我对四合院太理想了......,房间,negative,环境,negative,,,,,,,,,,
脏乱差小,卫生,negative,环境,negative,,,,,,,,,,
外出七天酒店里体验最糟糕的一次，酒店在一条小胡同里，里面种植了些花草，看起来很小资，但也太窄小了，根本没有走动的地方，哪里对得起这一千块钱的房价，订了双床房，因有两小孩，我跟我小孩一晚上没睡，翻下身可能就掉床下了，最后小孩流鼻血滴了两滴在床巾上也被扣了100块钱，明明可以洗掉的，她们说她们也是租的，搞得我们心里也不爽,环境,negative,价格,negative,,,,,,,,,,
没想到是间筒陋的民房，连张像样的桌子都没。像隔间。差评,设施,negative,,,,,,,,,,,,
酒店在小胡同里 车完全开不进去 我一个女孩子 提着好多行李 走了1000米才走到！知道自己的位置不好怎么没有接送服务呢？各地很多酒店，比如西塘，在景区里的 都是专人接送啊。 卫生间没有门 是开放式的，我觉得还是有点奇怪。酒店的细节品味不用说，很不错。走的时候没打到车 更是走的远。,位置,negative,服务,negative,卫生,negative,设施,negative,,,,,,
房间的洗手间传来恶臭，加上房间超级小，整晚被熏得难以入睡，还有，房间真的太小太小了，连行李箱都打不开，也就冲着露台那能拍拍照，在房间里一刻都呆不下去，早餐也潦潦草草，态度也不是很热情，一副你爱住不住我们就是这么有范的姿态。总之，完全不值这个价。,态度,negative,卫生,negative,,,,,,,,,,
环境差到极点，并且还感觉特别不安全，地方又很偏僻，让人望而却步,环境,negative,位置,negative,,,,,,,,,,
在住家里，环境一般，离车站不远到是,环境,negative,位置,positive,,,,,,,,,,
烟味过重！不建议女生租住！离火车站有一定距离！,位置,negative,,,,,,,,,,,,
刚开始还觉得房东一家人挺不错的，住久了就觉得各种抠门以及不好说话，感觉好像没给钱似的。,服务,negative,,,,,,,,,,,,
环境一般般，床和被子都是新的，卫生间条件有点差。。。。。。。。。。。。。离火车站北广场步行20分钟,环境,negative,卫生,negative,,,,,,,,,,
体验极差，一分钱一分货。卫生极差，上一个人睡过的被子，直接叠好，等一个人来了，就说，这是干净的，太无语了。里面住的是些乱七八糟的中年男人，窝在一起。一个女孩子还是不要住这种地方，太吓人了。,卫生,negative,,,,,,,,,,,,
环境一般，网上定的庆生房，第一次定，也不知道什么意思，到了让补差价，还好携程商量解决，希望能提高一下卫生,环境,negative,卫生,negative,,,,,,,,,,
不好找，还叫不是一个地方，床位多放，人多，卫差，环境差，不多说了，一字差，,环境,negative,卫生,negative,,,,,,,,,,
太垃圾了。住宿环境卫生都很差。本来租了2晚的，才住了一晚，就把东西全扔了，找了半天才在墙角落的地上找到。一个180元的充电宝直接被扔坏了。奉劝还是多花几十元，找个好点的旅舍吧。不然肯定后悔！,环境,negative,卫生,negative,,,,,,,,,,
网上订更多次房第一次遇到这种事，卫生超级脏臭乱，床单被子枕头都没洗过，今晚你用，明_我用，异味大又臭，男女混合一个房间的而且卫生间门锁都没有锁的，一句话就是宰客脏乱不堪又臭又脏又乱非常危险卫生更差,卫生,negative,老板,negative,设施,negative,,,,,,,,
半夜走了很远过去，态度生硬地让我临时再去另一个位置入住，环境是我住我最差的青旅，没有之一。花同样的钱，还是建议你们换一家住。,态度,negative,环境,negative,位置,positive,,,,,,,,
半夜住宿还要在屋子里讨论租金价格也是没有哪里了！吵死本尊了！,价格,negative,环境,negative,,,,,,,,,,
一分钱一分货，老板算是很热情的了。租房。性价比高。,性价比,positive,老板,positive,,,,,,,,,,
差劲到极点一晚上没睡着卫生差环境差连基本的被子都没有erq空调白天不能开上厕所还限定时间,环境,negative,卫生,negative,,,,,,,,,,
不想说啥，总之基本的安全感和卫生感都没有！,卫生,negative,安全,negative,,,,,,,,,,
房间客厅都是床，住了几十个人吧，都是在上海打工的，卫生超级差，那天太晚了将就了一下，第二天一早就走了,卫生,negative,,,,,,,,,,,,
可以说是糟糕，没有房卡。连具体的位置都没有表示，去了都不知道在第几楼。真是糟心。态度也不是很好。#风格特色#差评。,态度,negative,位置,negative,,,,,,,,,,
只是暂时住。 床单被罩没有见换过。特味儿且潮湿。 客厅住姑娘总是敲里面人的门，里面住的想坐在客厅休息会被不待见，房间里特味儿__，卫生间都是长发，住了两天不敢再住了，立刻滚回家。还是稍微贵一点的青旅，干净一点点。不过里面都是女生，好多了。,卫生,negative,,,,,,,,,,,,
味道特别大，而且感觉很久没有收拾过，离地铁站公交站都很远，感觉这里周围环境很不好，楼下还有条铁路线。,环境,negative,位置,negative,,,,,,,,,,
价钱在那，说实话既然选择了就别挑剔那么多！虽然环境和卫生不怎么样但是30多块钱一天真的行了,环境,negative,卫生,negative,价格,positive,,,,,,,,
床单被罩和枕头散发着一股不可描述的味道，还脏兮兮的，人走了之后直接把被子叠一下放在床上，下一个人来了之后接着用，不知道多久才换洗一次。这样的青年旅社已经失去了原有的意义，住客大多数是一些受教育水平不高且不愿脚踏实地从事普通工作的常客，还有一些中年大叔。价钱低并不是服务差的理由,服务,negative,环境,negative,价格,positive,,,,,,,,
地理位置很好，出地铁就找到了，在北京性价比超级高了，老板超级热情，天南地北侃大山，超级开心的一趟北京之旅，下次老板来东北请你次饭,位置,positive,性价比,positive,老板,positive,,,,,,
在一个小区里面，还算容易找，求职就业的暂住地，整体还不错吧，离地铁站很近，老板很热情。要求不高就行。,老板,positive,整体,positive,,,,,,,,
很不错，老板十一点都下来接我，对于这个价位来说，性价比灰常之高，跟大学宿舍似的，再来体验一把青春的感觉,性价比,positive,老板,positive,,,,,,,,
嗯，适合来北京打工狗求职的小伙伴们，价格比较合理化，不过如果你不适应群居生活对住宿环境要求比较高的话身上钱还多得发烧的话不推荐你住,环境,neutral,价格,positive,,,,,,,,
性价比不错，推荐一下,性价比,positive,,,,,,,,,,
对顾客没有耐心，还与网上价位不一，多收顾客钱,服务,negative,价格,negative,,,,,,,,,,
环境太垃圾，服务太恶劣,环境,negative,服务,negative,,,,,,,,,,
服务态度不行,态度,negative,服务,negative,,,,,,,,,,
订的悦来把我弄去了乐来，两家是一个老板，卫生间厨房很脏，下铺的老住客人很坏，我睡的是上铺，她不让我动，还把窗户给打开，现在可是12月了啊，别人要睡觉她还不关灯,卫生,negative,,,,,,,,,,,,
三星吧，房间乱七八糟的而且老板也不怎么热情,老板,negative,环境,negative,,,,,,,,,,
服务太差，临时加价。,服务,negative,价格,negative,,,,,,,,,,
有套路，注意！有套路，网上订好的到时候有要加钱__,价格,negative,,,,,,,,,,,,
不行，环境差。待改进,环境,negative,,,,,,,,,,,,
卫生垃圾得不要不要的,卫生,negative,,,,,,,,,,,,
差评，不要问为什么，总之就是差，为了赚钱什么人都让住，晚上呼噜打的，让人怎么睡，这不是严重影响人吗，第二 天都没精神面貌去办事，花钱来睡觉的，不是来听打呼的。这样的还有人愿意来第2次吗。,环境,negative,,,,,,,,,,,,
是混租，很臭。房间乱。,环境,negative,,,,,,,,,,,,
良心拒绝推荐！！环境太差，不要以为青旅价钱低环境就应该差点，床单被罩一股味，房间还有老鼠，差到无法接受！！______ 朋友们不要订啊~！！我也不是娇生惯养的孩子，但是这环境真的无法接受啊啊啊啊。 好了，既是对旅行的朋友负责，也是对店家的负责，希望店家能有所改进！！,环境,negative,卫生,negative,,,,,,,,,,
此店太坑人了！大家不要上当、他们打着低价的幌子、把客人骗进去再涨价！该店的门口连个标志都没有、到处都找不到地方、他们刻意把房子的房号的牌子去掉、让人无法找到,价格,negative,,,,,,,,,,,,
地理位置很好，火_站出_站__路就到了，非常近！但是_工_度不好，也很_意，整__人感_很不正_！青旅是家庭式改_的，很小很窄的空_。__多人住的地方竟然只有一_沐浴的地方！整_青旅起_住了二十__人吧只有一_洗澡的地方！而且男女不分，_常有男生穿著__就出_了非常不雅_！不推_。,位置,positive,态度,negative,环境,negative,,,,,,,,
