脏乱差，脏乱差，脏乱差！！有蚊子，有老鼠，住地下室，公共卫生间简直脏的要命！被套也不换，网上预订不能退就是*一个坑！,卫生,negative,被套,negative,,,,,,,,,,
位置真的很差，隔音很好，完全听不到旁边的声音，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，隔音很好，完全听不到旁边的声音，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
位置真的很差，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，位置真的很差，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，卫生间很脏，位置真的很差，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，位置真的很差，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，位置真的很差，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏，隔音很好，完全听不到旁边的声音，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，位置真的很差，我觉得老板人很好，卫生间很脏，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，位置真的很差，我觉得老板人很好，隔音很好，完全听不到旁边的声音，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，卫生间很脏，我觉得老板人很好，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，卫生间很脏，位置真的很差，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，我觉得老板人很好，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，隔音很好，完全听不到旁边的声音，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，位置真的很差，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网，位置真的很差，隔音很好，完全听不到旁边的声音 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
卫生间很脏，网络信号也很差，根本无法上网，隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，位置真的很差，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网，位置真的很差，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，我觉得老板人很好，网络信号也很差，根本无法上网，卫生间很脏，位置真的很差 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好，卫生间很脏，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，我觉得老板人很好，网络信号也很差，根本无法上网，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，我觉得老板人很好，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，卫生间很脏，网络信号也很差，根本无法上网，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，我觉得老板人很好，卫生间很脏 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，位置真的很差，网络信号也很差，根本无法上网，卫生间很脏，我觉得老板人很好 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
隔音很好，完全听不到旁边的声音，卫生间很脏，我觉得老板人很好，位置真的很差，网络信号也很差，根本无法上网 ,老板,positive,位置,negative,卫生间,negative,隔音,positive,网络信号,negative,,
很赞的一次住宿体验，卫生条件没话说，房东大哥东北人，老实在了，天天送吃的，就是价格如果能再低一丢丢就好了 ,卫生,positive,房东,positive,价格,negative,,,,,,
很赞的一次住宿体验，卫生条件没话说，就是价格如果能再低一丢丢就好了，房东大哥东北人，老实在了，天天送吃的 ,卫生,positive,房东,positive,价格,negative,,,,,,
很赞的一次住宿体验，房东大哥东北人，老实在了，天天送吃的，卫生条件没话说，就是价格如果能再低一丢丢就好了 ,卫生,positive,房东,positive,价格,negative,,,,,,
很赞的一次住宿体验，房东大哥东北人，老实在了，天天送吃的，就是价格如果能再低一丢丢就好了，卫生条件没话说 ,卫生,positive,房东,positive,价格,negative,,,,,,
很赞的一次住宿体验，就是价格如果能再低一丢丢就好了，卫生条件没话说，房东大哥东北人，老实在了，天天送吃的 ,卫生,positive,房东,positive,价格,negative,,,,,,
很赞的一次住宿体验，就是价格如果能再低一丢丢就好了，房东大哥东北人，老实在了，天天送吃的，卫生条件没话说 ,卫生,positive,房东,positive,价格,negative,,,,,,
卫生条件没话说，很赞的一次住宿体验，房东大哥东北人，老实在了，天天送吃的，就是价格如果能再低一丢丢就好了 ,卫生,positive,房东,positive,价格,negative,,,,,,
卫生条件没话说，很赞的一次住宿体验，就是价格如果能再低一丢丢就好了，房东大哥东北人，老实在了，天天送吃的 ,卫生,positive,房东,positive,价格,negative,,,,,,
卫生条件没话说，房东大哥东北人，老实在了，天天送吃的，很赞的一次住宿体验，就是价格如果能再低一丢丢就好了 ,卫生,positive,房东,positive,价格,negative,,,,,,
卫生条件没话说，房东大哥东北人，老实在了，天天送吃的，就是价格如果能再低一丢丢就好了，很赞的一次住宿体验 ,卫生,positive,房东,positive,价格,negative,,,,,,
卫生条件没话说，就是价格如果能再低一丢丢就好了，很赞的一次住宿体验，房东大哥东北人，老实在了，天天送吃的 ,卫生,positive,房东,positive,价格,negative,,,,,,
卫生条件没话说，就是价格如果能再低一丢丢就好了，房东大哥东北人，老实在了，天天送吃的，很赞的一次住宿体验 ,卫生,positive,房东,positive,价格,negative,,,,,,
房东大哥东北人，老实在了，天天送吃的，很赞的一次住宿体验，卫生条件没话说，就是价格如果能再低一丢丢就好了 ,卫生,positive,房东,positive,价格,negative,,,,,,
房东大哥东北人，老实在了，天天送吃的，很赞的一次住宿体验，就是价格如果能再低一丢丢就好了，卫生条件没话说 ,卫生,positive,房东,positive,价格,negative,,,,,,
看到这条评论就别来这家了，除了位置好一点以外没啥优点，环境脏乱差不说，向老板反应问题他睬都不睬我，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，除了位置好一点以外没啥优点，环境脏乱差不说，就当花钱买教训了，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，环境脏乱差不说，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，就当花钱买教训了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，除了位置好一点以外没啥优点，就当花钱买教训了，环境脏乱差不说，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，除了位置好一点以外没啥优点，就当花钱买教训了，向老板反应问题他睬都不睬我，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，环境脏乱差不说，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，环境脏乱差不说，除了位置好一点以外没啥优点，就当花钱买教训了，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，环境脏乱差不说，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，环境脏乱差不说，向老板反应问题他睬都不睬我，就当花钱买教训了，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，环境脏乱差不说，就当花钱买教训了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，环境脏乱差不说，就当花钱买教训了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，环境脏乱差不说，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，就当花钱买教训了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，向老板反应问题他睬都不睬我，环境脏乱差不说，除了位置好一点以外没啥优点，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，向老板反应问题他睬都不睬我，环境脏乱差不说，就当花钱买教训了，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，向老板反应问题他睬都不睬我，就当花钱买教训了，除了位置好一点以外没啥优点，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，向老板反应问题他睬都不睬我，就当花钱买教训了，环境脏乱差不说，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，就当花钱买教训了，除了位置好一点以外没啥优点，环境脏乱差不说，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，就当花钱买教训了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，就当花钱买教训了，环境脏乱差不说，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，就当花钱买教训了，环境脏乱差不说，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，就当花钱买教训了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
看到这条评论就别来这家了，就当花钱买教训了，向老板反应问题他睬都不睬我，环境脏乱差不说，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，环境脏乱差不说，向老板反应问题他睬都不睬我，就当花钱买教训了，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，环境脏乱差不说，就当花钱买教训了，看到这条评论就别来这家了，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，环境脏乱差不说，就当花钱买教训了，向老板反应问题他睬都不睬我，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，看到这条评论就别来这家了，环境脏乱差不说，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，看到这条评论就别来这家了，就当花钱买教训了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，环境脏乱差不说，看到这条评论就别来这家了，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，环境脏乱差不说，就当花钱买教训了，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，就当花钱买教训了，看到这条评论就别来这家了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，就当花钱买教训了，环境脏乱差不说，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，就当花钱买教训了，看到这条评论就别来这家了，环境脏乱差不说，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，就当花钱买教训了，看到这条评论就别来这家了，向老板反应问题他睬都不睬我，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
除了位置好一点以外没啥优点，就当花钱买教训了，环境脏乱差不说，看到这条评论就别来这家了，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
向老板反应问题他睬都不睬我，看到这条评论就别来这家了，就当花钱买教训了，除了位置好一点以外没啥优点，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
向老板反应问题他睬都不睬我，看到这条评论就别来这家了，就当花钱买教训了，环境脏乱差不说，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，看到这条评论就别来这家了，环境脏乱差不说，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，看到这条评论就别来这家了，就当花钱买教训了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，环境脏乱差不说，看到这条评论就别来这家了，就当花钱买教训了 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，看到这条评论就别来这家了，向老板反应问题他睬都不睬我，环境脏乱差不说，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，除了位置好一点以外没啥优点，看到这条评论就别来这家了，环境脏乱差不说，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，除了位置好一点以外没啥优点，看到这条评论就别来这家了，向老板反应问题他睬都不睬我，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，除了位置好一点以外没啥优点，环境脏乱差不说，看到这条评论就别来这家了，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，除了位置好一点以外没啥优点，环境脏乱差不说，向老板反应问题他睬都不睬我，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，看到这条评论就别来这家了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，环境脏乱差不说，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，环境脏乱差不说，看到这条评论就别来这家了，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，环境脏乱差不说，看到这条评论就别来这家了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，环境脏乱差不说，除了位置好一点以外没啥优点，看到这条评论就别来这家了，向老板反应问题他睬都不睬我 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，环境脏乱差不说，除了位置好一点以外没啥优点，向老板反应问题他睬都不睬我，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，环境脏乱差不说，向老板反应问题他睬都不睬我，看到这条评论就别来这家了，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，环境脏乱差不说，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，向老板反应问题他睬都不睬我，看到这条评论就别来这家了，除了位置好一点以外没啥优点，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，向老板反应问题他睬都不睬我，看到这条评论就别来这家了，环境脏乱差不说，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，看到这条评论就别来这家了，环境脏乱差不说 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，向老板反应问题他睬都不睬我，除了位置好一点以外没啥优点，环境脏乱差不说，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，向老板反应问题他睬都不睬我，环境脏乱差不说，看到这条评论就别来这家了，除了位置好一点以外没啥优点 ,位置,positive,环境,negative,老板,negative,,,,,,
就当花钱买教训了，向老板反应问题他睬都不睬我，环境脏乱差不说，除了位置好一点以外没啥优点，看到这条评论就别来这家了 ,位置,positive,环境,negative,老板,negative,,,,,,
网站上照片和实际情况严重不符，修图太过了，浴室出热水很不稳定，大冬天的特别冷，楼梯很陡峭，很危险，估计是长时间没人住就没人打扫，地上一层灰，价格倒是很便宜 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
网站上照片和实际情况严重不符，修图太过了，浴室出热水很不稳定，大冬天的特别冷，楼梯很陡峭，很危险，价格倒是很便宜，估计是长时间没人住就没人打扫，地上一层灰 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
